address, amount
0x5A384227B65FA093DEC03Ec34e111Db80A040615,1
0x1D6F2F0356B3DefAdf14b1a0F8A3Dcda89367D68,1
0x4c95915aA398C0e4AEF6D7DD1Ff5C0f9ADbf9729,1
0xC0D95fBB7bf19C7665a1C4042b683182B34e2150,1
0x9Ba6baA919BAc9Acd901dF3Bfde848FE006D3caE,1
0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,1
0xD03Ad690ed8065EDfdC1E08197a3ebC71535A7ff,1
0x70Ddb5AbF21202602b57F4860eE1262a594a0086,1
0x0E440bd9798Ad22CB8fd6F1a433f2F16E8786770,1
0x1E8cBBBfB827785ecC23dd0426A8907c7CDCcA3a,1
0x4101eC64896FA8aFDa5bE145B6321275bB375Fe0,1
0x600F9Faa8A2D39A710b28e2D0EC8a5daCC12B00f,1
0xc643C9411a6B489e9833b16631140F42bBfCb6d1,1
0x750f565251228a561d8Ce8cCeB03731A7a2430f8,1
0x2245bE89Fc8faB94ed982e859Aa3212A4e4eB7e5,1
0xe261b0606dD815a7952994C5c60C88040a316692,1
0xfA5DD7599eC9D5Ec79883e8D4107E0E24B2A15F9,1
0xEc24EA9eCB4c1601399c64e8d7abAF46D68cf494,1
0x952A21465a3c18Ea3E06FA2f651672D38465ad64,1
0xD8c958F774dE4b671E43F78fd0a04255E2291A13,1
0xB7828e0f8C1eEe6a278AD1B0704a8dF170EcD481,1
0x813eC5fACF289bD41365A8F1C9038A1228E95201,1
0x983110309620D911731Ac0932219af06091b6744,1
0x087a1947768E5b1d0ab8aCa3DCfd879D029E80A1,1
0x684f49bc1e04339d84F2370f14Dc1491A3B4F113,1
0x0EC96A740867ae9CCa6c5D506E260ab76cD36708,1
0x9A34DA12234e3a9c1eC285902f0684BC038584dB,1
0x937A98a1Aa58d66F49873cC9b8A1E065b8f363Dd,1
0x9b045b6589FF0044f97901B742609eB34eE96949,1
0x815B33fe3C4f687930349A50a007FbC01f4F285e,1
0xc13daedfcf564585586ea8A4A8136C1629A6be62,1
0xc9Cf1e56fc67fF061427DEa48C8013BB5193531B,1
0x2AdBFe937cf156552E87ce847c81AF923c686b4a,1
0xf062B3ab33A518Ef57e0039379A128CaF2e01AD8,1
0x0622808FBBF70645365d3Dd2c82B5280F018ee82,1
0x805c65303b2031Fe4cF4A429D6e5E30af95844e2,1
0x371Ea1E8FcB52083a2A6Ee8Bb44Bb5540939fB82,1
0xA7960C9f044194B18aF5fB4631F4cA72D8C924A6,1
0xa7D65cD81f3631B9823a511A7f4bdDDf081945f7,1
0xCA7ec5099d0381a120459B4ae51c8c8Bda618F46,1
0x34eF98030CF2A2A7b411fdc43642d67FFCBc4F31,1
0x014607F2d6477bADD9d74bF2c5D6356e29a9b957,1
0x3dAd5288D0F9Ca63acB48940f349e0cF3832D311,1
0xbceAa1b2E31e7f5307b2D1f546A51B3e84065584,1
0xA3DDf42ee75255fB8374ee41f0af700CbcF22763,1
0x4627Bd7D658Ee1474B3f1Da1F9fF0BdE6b720FCd,1
0x12CfF2A28d4FE53fcf46ad642668Cf6651Fa8cf7,1
0x5b868a8aA309611672b565f6163C1BA755A9DFf6,1
0xF6C1582279D41605728A831eea8cA6B9ae51328b,1
0x30051707E0b18cB19E9a7c0704FFea196499646E,1
0xAb6f255DaC71103EA6d57B320EAf0EEc901B05aA,1
0xe24fbe2F6e587B8220e7B91474057Df1806fffA5,1
0xCdf91269d4E4bba12F8f3c82Be7a13e4a1D4B3bb,1
0x048cd36Ff0C30aFEFEea51bF4c7cC5A05B5837Bf,1
0x7166e14B0c4B72B7EAEE346F6c115c39446696dc,1
0x0919EAC627cA24d909A777B69Db9B21e5A511664,1
0x8aAe84404661e3C015284B20b74c7a62ED29907E,1
0x81C951548530eCcFa0B3Bc519F3fD81fb437E512,1
0x256E2248ABB150e5Cf0860235E153d0b21b02b25,1
0x5D832748BD21686228FAaB702AA90834808b80Fa,1
0x50B8fBb9f662AA616b45aF128E82F742e79c79d8,1
0x333a8E910DCC4E97E7ef53eaac44604940C9dBBb,1
0x31eb068f6Af31282F57DeCaAD88726A6bCA65981,1
0x8f65FDfF44E6b7E40E4201534875ACDB3C91ce5c,1
0x4f4983BfA89a9962595c95bD7B3DC31360AF7741,1
0xd9220628480F074Fe8D1d9A493C0369E6C4FEf0A,1
0x8B75fF9694B2428F3C4d776084D63B9f3250F16B,1
0x211a23d5429994CaFB07245746b2938929b96Db6,1
0x459c87aE16B71cc30Fe0Dec1bd0c740c12DCC345,1
0x936C7cb90E5a4c508878500C7c8ae055A2AD1256,1
0xcB3D44CF3722A0e48b5D4ECf4C9b413a4FeD5FC1,1
0x839F8426253fa21BA5053A5FB5C8693264f3C815,1
0xf6B6F07862A02C85628B3A9688beae07fEA9C863,1
0x1100b1697C5519a51eEF3B14A908F4D3Fdfc8947,1
0x0C7CdEe7F65F2be9D3d241A8CaF43fD2773E263B,1
0xE04A9418CFfE0f43fd42527bD3CFc05593EAC052,1
0xe871757d6872cCAe968387f0B43Eb737a5606eb4,1
0x072ffC236bAD09df939F90d95ed0CFdf371AEaec,1
0xB3384eBD56B9E7265d8Ab94f17563f2CC71154b3,1
0x4543C8139Ae1b7D61B6569Ad4Ff4f9CD170585f5,1
0x69dfa0799d2b7EA9A498a1DeCc8CbEb0762489D8,1
0x5a45Fa1D4FfC1428Dc50F9df6fD1643F1012a39d,1
0xc24e0058d8246d6A833941780589F17d270cF0E7,1
0x3C23aE644cf7f1256deC7CcEFF8D201Ff9aB9994,1
0x87a40539B3f0aD7dEc878f332cE1BA01F90F815c,1
0x81D98c8fdA0410ee3e9D7586cB949cD19FA4cf38,1
0xB6D5B5B63B51F3cb48fe76499Df49B68c64b8563,1
0x9FDA5e296536fEA649E0876F1Bf602DA9B2149c3,1
0xBfeB1CB7ec1F9E70c2ba12555300319214b6B874,1
0x368093B0F4BbD4D53AcE2d06D3E40b36e4819e6F,1
0x5458fc0314adAF44a9FB532dE7ef08D04BF62012,1
0x78dd09383394788228047d3656a58543F34Edb54,1
0x3aE5A4a74338a5040aD824B1da65bfe33337c9bE,1
0x84AA32b0C81732B06e97aD2E911175423D5431A0,1
0x273298C3215fA15dC5211d4E88c93a8a21143f97,1
0xA6a4Be3951f284bcB792dd5034469fA758E7CD7F,1
0x19a22b62BbA26B3146D599Be743a2D65BF5acE2a,1
0xa31545E5f7D4EC0Fabf76005064b0577Fa0680A3,1
0xcbdcB14D4963a045d6517A89AaB07a097230C9BC,1
0x58Fbd272d5cf3AD195AdeA5934Db0C1f6353e50E,1
0xFcc7dEd476Eed52568E261411036a71e307735e3,1
0x7663697900dd93A6D4722bc150d8e3A03C7B4866,1
0x84374380249F25706b357cEB7ce54815B521F064,1
0x940E4D88158F5Ea1610C93c11354a9C9f7f00988,1
0xe68e8cC7FF772b026C062b9Cc28246676D044947,1
0x48f88A8D8e4a9dFF33C0A4D857a81A189C2d6e07,1
0xF507555538FD0537922e70817780908AD132d3eb,1
0x4131826eaFDCb7dcd855Fae9098EC693165F157d,1
0xa5389ABC8c937C875304497573cB75576B8fC5F6,1
0x9BD6bAA7602bd257615621b7855c02287C7F4888,1
0x8D4Fcf8170A20ccC91fAB546Ee57Bd01c930E608,1
0x7C891c0C8eEA3E6053a4fb3B904Cf2961239c10b,1
0xcAD110EE35448f844b56674282c5Ae28EfD68211,1
0xEA50eF852d6a07F7fBbb73cc2de703F93526539e,1
0x1CfB5c47d2fc0f4181D88BA902BcD0f2195C89Bc,1
0x16AE9B67Be5d59FCB2FDDEa5b3208943e63A5aF3,1
0x92720ECf87cc6584484489264B30438c21eC096a,1
0x6E605481552F7146663B103139959DFd5f959BF5,1
0x69957AFC770B5fDFdCB8288f632c8cA7a518B833,1
0x7B9044D2862E1bcf5212F9d41583c291CD5419f6,1
0x7E3a05bc6A2748B3b51BB303098AdC6ee3D8fCf8,1
0xd5D171a9AA125AF13216C3213B5A9Fc793FcCF2c,1
0x1F4DC26F26262FE6431c6FF1bd304affdf600289,1
0xE7CF8Fce5e83e07e56E2EBfEb7651f459c47217b,1
0xB02ffb957D95796D8B633fcD15f955926e51CCBb,1
0xe2ca7390e76c5A992749bB622087310d2e63ca29,1
0xcDbB43A1BacB5Fe29ff895C7f79dC9dD0d536F71,1
0xe4B424E1cCc6f08768C921455F83181bacBfE3F0,1
0xebf6CAF61dAF53dC92B6a9B030Cf642FD4c1103c,1
0x366e58737164430AF4AEd2856840be9BB148BDC7,1
0x8a431109F2eA42d7f9d655980785747DC32E597F,1
0x2E5300eAbf71950b00DDD6a59690cfD8852AD3B9,1
0x99988890F2DE1d59e1EB76d2f34CDE371044b8C8,1
0x2F42fCd8D06A840C242814ea5AaAa60699C3D69c,1
0x177821CbE97b3eB0a20de1FD534bC7160cBCd76e,1
